abstract,label
"Background Allergic contact dermatitis due to acrylates present in the workplace is a disease frequently reported among dentists, printers, and fiberglass workers. Recently, the number of cases of contact allergic dermatitis among beauticians specialized in sculpting artificial nails has increased. Objective Our objective was to study the clinical characteristics and allergens implicated in allergic contact dermatitis due to acrylates in beauticians and users of sculpted nails. Material and methods This was an observational, retrospective study of patients diagnosed with allergic contact dermatitis due to acrylates used in sculpting artificial nails over the last 26 years in the Hospital General Universitario, Valencia, Spain. Results In total, 15 patients were diagnosed: 14 beauticians and 1 client. Most cases were diagnosed in the past 2 years. All were women, their mean age was 32.2 years, and 26.7% had a personal or family history of atopy. The sensitization time varied between 1 month and 15 years. The most frequently affected areas were the fleshy parts of the fingers and hands. Three patients ??2 beauticians and 1 client?? presented allergic asthma due to acrylates. All patients underwent patch testing with a standard battery of allergens and a battery of acrylates. The most frequent allergens were ethylene glycol dimethacrylate (13/15, 86.7%), hydroxyethyl methacrylate (13/15, 86.7%), triethylene glycol dimethacrylate (7/15, 46.7%), 2-hydroxypropyl methacrylate (5/15, 33.3%), and methyl methacrylate (5/15, 33.3%). Conclusions Acrylate monomers used for sculpting artificial nails are important sensitizers for contact and occupational dermatitis. The most important consideration is primary and secondary prevention.",non-battery
"ABSTRACT According to the Nernst??Planck equation, the transport of charged species in porous electrodes is mainly driven by diffusion and migration. Although a number of all-vanadium redox flow battery (VRFB) models have been developed by several VRFB modeling groups, a comparative study of these two ion transport mechanisms has not been clearly reported in the literature. In this study, we develop a three-dimensional (3-D), transient VRFB model that rigorously accounts for both diffusion and migration mechanisms of charged species, including V2+, V3+, VO2+,VO2 + and H+. The VRFB model relies upon five principles of conservation: mass, momentum, species, electric charge, and thermal energy. Due to the general form of the conservation equations, both species migration effects on species transport and species diffusion effects on charge transport are considered in the source terms of the model equations. The model calculates species migration and diffusion fluxes through the membrane and compares their relative magnitudes under various charging and discharging stages. This paper clearly elucidates the role of species migration on vanadium crossover and the subsequent capacity losses, demonstrating that the present VRFB model is a valuable tool for optimizing the component design and operation of VRFBs.",battery
"Carbon-encapsulated nano-MnO composite with novel multiple structure loaded on N-doped carbon webs (CMNCWs) has been designed and fabricated by using polypyrrole webs as both template and precursor. As an anode material for lithium-ion batteries, CMNCWs exhibit a superhigh reversible capacity and excellent rate capability, delivering a capacity as high as 1268mAhg???1 after 700 cycles at a current density of 1.0Ag???1. Such superior electrochemical performance can be attributed to the unique multiple structure, which cannot only effectively shorten the transport path of Li+ ions and enhance the conductivity, but also relieve the volume change and prevent agglomeration of Mn grains during the phase transformation in the conversion reaction.",battery
"Search for simple and economical electrocatalyst for the hydrogen gas evolution reaction (HER), which can resemble to the performance of Pt and other precious metals, is a challenging research interest. In this work, a systematic effect of pre-treatment potential of screen-printed carbon (SPCE) surface on the HER performance in 0.5 M H2SO4 was carried out. A new observation of a low potential HER (onset potential, E onset = ???0.02 V vs. RHE) at a cathodic potential, ???0.5 V vs. Ag/AgCl on 1 hr pre-treated screen-printed carbon electrode (SPCE*, * = pre-treated) was observed. Physicochemical and electrochemical characterizations of the SPCE* by field emission scanning electron-microscope, Raman, IR and X-Ray photoelectron spectroscopes reveals specific generation of carboxylic acid functionalized carbon surface and in turn for the enhanced HER on the modified electrode surface. Electrochemical characterization of SPCE* with Fe(CN)6 3??? support the observation. A marked decrement in the peak current and significant increase in the peak-to-peak separation potential response due electrostatic repulsion between the anion sites of Fe(CN)6 3??? and ??COO?? were noticed. This observation is in parallel with the reduced electrical double layer capacitance value of the SPCE* system. The E onset and Tafel value (54.7 mV dec???1) obtained here are comparable to those at Pt, MoS2, MoSe2 and superior over the N- and P-doped graphene/carbon electrocatalysts for HER. A prototype HER system was developed and demonstrated for H2 gas production at a rate of 0.0053 ??M s???1 (Operating potential = ???0.5 V vs Ag/AgCl), which is comparable to that of precious metal and metal compound electrocatalysts based HER performance.",battery
"The frequent occurrence of natural disasters is a major threat to the property and casualties of human beings in recent decades. Disaster prone points can be very closely monitored by augmenting the distribution of wireless sensor networks. However, replacing the battery of electronics regularly remains a significant challenge especially in a remote area. In this study, we report a wind-driven hybridized energy harvester which is designed for rotating energy harvesting and can be integrated with WSN technology to develop a self-powered natural disaster monitoring system. In this harvester, the rotator is directly driven by external rotational motion thus can easily hybridize the TENG with eighteen EMGs. Consequently, the fully packaged WH-EH device combining with the water-proof flexible solar cell can be completely isolated from the harsh wilderness environment. The output feature of TENG of high voltage but low current that perfectly compensate for the differing performance of EMG to achieve an excellent output power of the hybrid device with a broad frequency range. Moreover, the WH-EH is capable of lighting hundreds of LEDs and powering small electronics. The quick-acting charging ability of a capacitor by the WH-EH was conducted effectively in experimental tests. Finally, three self-powered sensor systems enabled by a single WH-EH were discussed and demonstrated, including a temperature sensor for forest fire detection, a vibration sensor for earthquake monitoring and a wireless transceiver for alarm information spreading. Obviously, the invention of the hybridized nanogenerator will be of great importance to promote the development of self-powered wireless sensor networks and provide a sustainable power-supply solution to long-term natural disaster monitoring stations in residential or remote areas.",battery
"Polymeric gel electrolytes (PGE), based on polyacrylonitrile blended with poly(vinylidene fluoride-co-hexafluoropropylene) (P(VdF-co-HFP)), which are reinforced with glass-fibre cloth (GFC) to increase the mechanical strength, are prepared for the practical use in lithium secondary batteries. The resulting electrolytes exhibit electrochemical stability at 4.5V against lithium metal and a conductivity value of (2.0??2.1)??10???3 Scm???1 at room temperature. The GFC??PGE electrolytes show excellent strength and flexibility when used in batteries even if they contain a plasticiser. A test cell with LiCoO2 as a positive electrode and mesophase pich-based carbon fibre (MCF) as a negative electrode display a capacity of 110mAhg???1 based on the positive electrode weight at the 0.2C rate at room temperature. Over 80% of the initial capacity is retained after 400 cycles. This indicates that GFC is suitable as a reinforcing material to increase the mechanical strength of gel-based electrolytes for lithium secondary batteries.",battery
"Actigraphy has been used for more than 60??years to objectively measure sleep??wake rhythms. Improved modern devices are increasingly employed to diagnose sleep medicine disorders in the clinical setting. Although less accurate than polysomnography, the chief advantage of actigraphs lies in the cost-effective collection of objective data over prolonged periods of time under everyday conditions. Since the cost of wrist actigraphy is not currently reimbursed, this method has not enjoyed wide acceptance to date. The present article provides an overview of the main clinical applications of actigraphy, including the recommendations of specialist societies.
",non-battery
"Photoelectrocatalytic cells for water splitting should combine one or two photosensitive units with a water oxidation catalyst at the anode and a hydrogen evolution catalyst at the cathode. In this perspective article, we first show how a chemist can take the naturally occurring multi-electron catalysts for these two electro- and photochemical reactions, photosystem II and hydrogenases, as a source of inspiration for the design of original, efficient and robust molecular catalysts. The focus of this article is given to the immobilisation of these natural or bio-inspired catalysts onto conducting surfaces and the design of electrode and photoelectrode materials for hydrogen evolution/uptake and water oxidation.
",battery
"Perfectly aligned silicon microwire arrays show exceptionally high cycling stability with record setting (high) areal capacities of 4.25 mAh cm???2. Those wires have a special, modified length and thickness in order to perform this good. Geometry and sizes are the most important parameters of an anode to obtain batteries with high cycling stability without irreversible losses. The wires are prepared with a unique etching fabrication method, which allows to fabricate wires of very precise sizes. In order to investigate how good randomly oriented silicon wires perform in contrast to the perfect order of the array, the wires are embedded in a paste. This study reveals the fundamental correlation between geometry, mechanics and charge transfer kinetics of silicon electrodes. Using a suitable RC equivalent circuit allows to evaluate data from cyclic voltammetry and simultaneous FFT-Impedance Spectroscopy (FFT-IS), yielding in time-resolved resistances, time constants, and their direct correlation to the phase transformations. The change of the resistances during lithiation and delithiation correlates to kinetics and charge transfer mechanisms. This study demonstrates how the mechanical and physiochemical interactions at the silicon/paste interface inside the paste electrodes lead to void formation around silicon and with it to material loss and capacity fading.",battery
"Potassium-ion batteries attract tremendous attention for large scale application due to the abundance of K resources. Herein, a highly disordered hard carbon derived from a skimmed cotton is investigated for this purpose. The study shows that a simple soaking treatment in hydrochloric acid for the skimmed cotton before its high-temperature carbonization can critically impact the structure and the electrochemical properties of the obtained hard carbon significantly. This hard carbon exhibits a high initial coulombic efficiency (73%) and superior cycling stability and rate capability (253 mAh g???1 and 165 mAh g???1 at 40 mA g???1 and 4000 mA g???1, respectively) due to its unique porous architecture and large surface area. The full cell by coupling the hard carbon with a cathode material, i.e. potassium-rich iron hexacyanoferrate shows an outstanding electrochemical performance. These promising properties highlight the potentials of such a hard carbon in practical applications.",battery
